$ps -aux
USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
Mems_allowed:	00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000001
Mems_allowed_list:	0
voluntary_ctxt_switches:	5042
nonvoluntary_ctxt_switches:	14522

$kill -STOP 3535
$cat /proc/3535/status 
Name:	firefox
State:	T (stopped)

$kill -CONT 3535
$cat /proc/3535/status 
Name:	firefox
State:	S (sleeping)

$kill -KILL 3535
$cat /proc/3535/status 
cat: /proc/3535/status: No such file or directory

